,Simulation Angle,Simulation Data
169,10.0625,0.5616442671355621
170,10.1875,0.5503331507585868
171,10.3125,0.5586858429281496
172,10.4375,0.5508229377010736
173,10.5625,0.5414869691534515
174,10.6875,0.5480894399486205
175,10.8125,0.5281583907404286
176,10.9375,0.5377247072507427
177,11.0625,0.5264572273994211
178,11.1875,0.5347447292442954
179,11.3125,0.5265881369763816
180,11.4375,0.5216774410576099
181,11.5625,0.5260030108369367
182,11.6875,0.5198038473243229
183,11.8125,0.5254530583818064
184,11.9375,0.5191356795542404
185,12.0625,0.522876784353602
186,12.1875,0.524979535962518
187,12.3125,0.5283737964988818
188,12.4375,0.5314551963694998
189,12.5625,0.5249804615857893
190,12.6875,0.5270221220587902
191,12.8125,0.532328059114466
192,12.9375,0.5299903314265009
193,13.0625,0.5365450665072428
